U,V
11.65016,-25.8
10.75016,-25.5
9.650162,-25
8.450162,-24.2
7.150162,-23.3
5.750162,-22.2
4.250162,-20.9
2.950162,-19.5
1.650162,-18
0.5501618,-16.6
-0.3498383,-15
-1.049838,-13.4
-1.749838,-11.7
-2.349838,-9.900001
-3.049838,-8
-3.649838,-6
-4.349838,-3.9
-4.849838,-1.9
-5.349838,0.1
-5.649838,1.6
-5.849838,3
-6.049839,4
-6.249838,4.8
-6.349838,5.2
-6.549839,5.6
-6.849838,5.8
-7.149838,6.1
-7.349838,6.5
-7.549839,7
-7.749838,7.7
-7.849838,8.5
-7.749838,9.400001
-7.649838,10.3
-7.349838,11.1
-6.949838,11.8
-6.449838,12.2
-5.949838,12.6
-5.249838,12.8
-4.649838,12.9
-3.949838,12.9
-3.349838,12.9
-2.649838,12.9
-1.949838,12.9
-1.549838,13
-1.249838,13.1
-1.349838,13
-1.649838,12.9
-1.749838,12.7
17.75016,-7.4
18.85016,-9
19.65016,-10.7
20.35016,-12.2
20.75016,-13.7
21.25016,-15
21.65016,-16.2
22.15016,-17.3
22.45016,-18.4
22.85016,-19.4
22.95016,-20.6
22.95016,-21.7
22.65016,-22.8
22.15016,-24
21.35016,-24.9
20.45016,-25.7
19.45016,-26.3
18.55016,-26.8
17.65016,-27.1
17.05016,-27.3
16.25016,-27.4
15.45016,-27.4
14.45016,-27.2
13.15016,-26.6
11.65016,-25.7
10.05016,-24.5
8.250162,-22.9
6.650162,-21.2
5.150162,-19.5
3.850162,-17.8
2.750162,-16.2
1.750162,-14.7
0.7501618,-13.2
-0.1498383,-11.6
-1.049838,-9.8
-2.049838,-7.9
-2.949838,-5.9
-3.649838,-3.8
-4.449838,-1.7
-5.149838,0
-5.649838,1.6
-6.049839,2.7
-6.549839,3.6
-6.849838,4.1
-7.149838,4.5
-7.249838,4.7
-7.449838,5
-7.549839,5.4
-7.649838,6.1
-7.649838,6.9
-7.749838,7.9
-7.849838,9
-7.849838,10.2
-7.649838,11.2
-7.449838,11.9
-7.149838,12.4
-6.749838,12.6
-6.349838,12.7
-5.949838,12.7
-5.349838,12.7
-4.749838,12.6
-4.049839,12.7
-3.449838,12.8
-3.049838,13.1
-2.849838,13.2
-2.949838,13.1
-3.249838,12.8
-3.249838,12.2
15.75016,-3.1
16.85016,-4.5
17.85016,-6
18.95016,-7.4
19.95016,-9
20.95016,-10.5
21.75016,-12
22.55016,-13.4
23.25016,-14.9
24.05016,-16.3
24.55016,-17.8
25.05016,-19.2
25.25016,-20.8
25.25016,-22.2
24.95016,-23.6
24.45016,-24.8
23.85016,-25.7
23.15016,-26.6
22.45016,-27.2
21.75016,-27.7
20.85016,-28.1
19.85016,-28.3
18.75016,-28.2
17.45016,-28
15.85016,-27.4
14.35016,-26.5
12.65016,-25.2
11.15016,-23.8
9.650162,-22.2
8.250162,-20.8
6.850162,-19.3
5.450162,-17.8
3.850162,-16.3
2.350162,-14.6
0.9501618,-12.8
-0.3498383,-10.7
-1.549838,-8.400001
-2.549838,-6.1
-3.349838,-3.9
-4.149838,-1.9
-4.849838,-0.2
-5.549839,1
-6.149838,2.2
-6.649838,3
-7.049839,3.7
-7.049839,4.2
-6.949838,4.7
-6.649838,5.1
-6.349838,5.7
-6.149838,6.3
-6.049839,7.3
-6.149838,8.3
-6.349838,9.5
-6.549839,10.5
-6.649838,11.3
-6.549839,11.9
-6.449838,12.3
-6.149838,12.5
-5.849838,12.8
-5.349838,12.9
-4.849838,13.1
-4.449838,13.3
-4.049839,13.5
-3.949838,13.6
-4.049839,13.6
-4.349838,13.3
-4.749838,12.8
-4.849838,11.9
12.45016,-1.1
13.35016,-1.7
14.45016,-2.3
15.85016,-2.8
17.35016,-3.6
19.05016,-4.7
20.55016,-6.1
22.15016,-7.8
23.45016,-9.7
24.65016,-11.7
25.55016,-13.8
26.35016,-15.9
26.85016,-18
27.25016,-19.9
27.45016,-21.8
27.55016,-23.4
27.35016,-24.8
27.25016,-25.8
26.75016,-26.7
26.15016,-27.3
25.25016,-27.7
24.15016,-28
22.85016,-28.1
21.55016,-28.1
20.05016,-28.1
18.75016,-27.9
17.45016,-27.5
16.25016,-26.9
14.85016,-26.1
13.25016,-25
11.45016,-23.8
9.350162,-22.3
7.250162,-20.4
5.150162,-18.4
3.150162,-16.1
1.550162,-13.5
0.1501617,-10.9
-0.8498383,-8.3
-1.849838,-6
-2.649838,-4
-3.449838,-2.4
-4.249838,-1
-5.049839,0.3
-5.749838,1.6
-6.249838,2.9
-6.349838,4
-6.349838,4.8
-6.049839,5.4
-5.649838,5.8
-5.349838,6.3
-5.149838,6.9
-5.149838,7.7
-5.249838,8.7
-5.349838,9.6
-5.449838,10.5
-5.549839,11.2
-5.549839,11.7
-5.449838,12.2
-5.249838,12.6
-4.949838,12.9
-4.649838,13.2
-4.449838,13.3
-4.549839,13.4
-4.749838,13.2
-5.449838,13
-6.149838,12.5
-6.849838,11.9
-6.949838,11
12.45016,0.7
13.65016,0.7
15.05016,0.7
16.75016,0.6
18.55016,0.2
20.45016,-0.5
22.15016,-1.6
23.85016,-3
25.35016,-4.8
26.65016,-6.7
27.65016,-8.900001
28.55016,-11.2
29.15016,-13.6
29.55016,-16
29.85016,-18.3
30.05016,-20.4
30.25016,-22.4
30.35016,-23.9
30.25016,-25.3
30.05016,-26.4
29.35016,-27.2
28.35016,-27.8
27.15016,-28.1
25.85016,-28.3
24.55016,-28.5
23.55016,-28.9
22.45016,-29.3
21.35016,-29.5
19.85016,-29.6
17.85016,-29.1
15.55016,-28.1
12.95016,-26.5
10.25016,-24.4
7.850162,-21.9
5.750162,-19.1
3.950162,-16.1
2.450162,-13.1
1.250162,-10.4
0.2501617,-7.9
-0.6498383,-6.1
-1.449838,-4.5
-2.249838,-3.2
-3.049838,-1.7
-3.849838,0
-4.549839,1.9
-5.149838,3.6
-5.549839,5
-5.649838,5.6
-5.649838,6.1
-5.649838,6.2
-5.649838,6.5
-5.649838,7.1
-5.549839,7.9
-5.549839,8.900001
-5.349838,10
-5.249838,10.8
-5.249838,11.4
-5.249838,11.8
-5.249838,12.1
-5.249838,12.3
-5.049839,12.4
-4.949838,12.3
-5.049839,12
-5.349838,11.6
-5.949838,11.1
-6.649838,10.5
-7.449838,9.900001
-7.849838,9.400001
14.75016,2.7
16.25016,2.7
17.75016,2.7
19.35016,2.4
20.75016,2.1
22.45016,1.5
24.05016,0.5
25.65016,-0.8
27.15016,-2.4
28.55016,-4.2
29.55016,-6.2
30.55016,-8.3
31.25016,-10.5
31.95016,-12.7
32.35016,-14.9
32.75016,-17.1
32.95016,-19.2
33.35016,-21.2
33.45016,-23.1
33.65016,-25
33.35016,-26.8
32.85016,-28.3
31.65016,-29.5
30.35016,-30.3
28.95016,-30.9
27.75016,-31.3
26.65016,-31.7
25.35016,-32
23.75016,-32.1
21.45016,-31.8
18.85016,-30.9
16.05016,-29.4
13.15016,-27.4
10.75016,-24.8
8.450162,-21.8
6.550162,-18.6
4.850162,-15.4
3.450162,-12.5
2.150162,-10
1.150162,-8.1
0.2501617,-6.6
-0.4498383,-5.2
-1.249838,-3.7
-2.049838,-2
-2.949838,0.1
-3.849838,2.1
-4.649838,3.8
-5.149838,4.9
-5.649838,5.5
-5.749838,5.6
-5.949838,5.8
-5.949838,6.2
-6.049839,7
-6.049839,8.1
-6.049839,9.400001
-5.949838,10.5
-5.849838,11.3
-5.749838,11.7
-5.749838,11.9
-5.749838,11.8
-5.849838,11.7
-5.649838,11.4
-5.549839,10.9
-5.349838,10.3
-5.449838,9.5
-5.749838,8.7
-6.249838,8.1
-6.449838,7.7
17.75016,6.6
19.35016,6.5
20.75016,6.2
22.35016,5.7
23.85016,5.1
25.65016,4.3
27.55016,3.2
29.55016,1.7
31.25016,-0.2
32.65016,-2.3
33.65016,-4.6
34.65016,-6.9
35.35016,-9.3
35.95016,-11.6
36.25016,-13.8
36.35016,-15.8
36.25016,-17.6
36.25016,-19.3
36.35016,-20.9
36.55016,-22.8
36.65016,-24.9
36.45016,-27.3
35.75016,-29.7
34.75016,-31.8
33.45016,-33.5
31.85016,-34.6
30.15016,-35
28.25016,-34.9
26.15016,-34.4
23.95016,-33.7
21.55016,-32.8
19.15016,-31.7
16.75016,-30.1
14.35016,-27.9
12.05016,-25.1
9.850162,-21.9
7.750162,-18.6
5.850162,-15.5
4.150162,-12.7
2.850162,-10.6
1.750162,-8.7
0.9501618,-7.1
0.3501618,-5.4
-0.3498383,-3.7
-1.149838,-1.7
-1.949838,0.2
-2.849838,2
-3.549838,3.3
-3.949838,4.4
-4.149838,4.8
-4.149838,5.1
-4.149838,5.3
